"NutsID","region_name","NUTS_level","p.year","p.value_eur","p.area_ha"
"1111601","Arcos de Valdevez","4","2019","11530051","551.5"
"1111602","Caminha","4","2019","3015466","1058.6"
"1111603","Melgaço","4","2019","5191947","494.9"
"1111604","Monção","4","2019","9358899","1577.4"
"1111605","Paredes de Coura","4","2019","5383718","1276.3"
"1111606","Ponte da Barca","4","2019","4831458","572.9"
"1111607","Ponte de Lima","4","2019","20001117","2566.9"
"1111608","Valença","4","2019","4101833","2858.9"
"1111609","Viana do Castelo","4","2019","16334535","2145.3"
"1111610","Vila Nova de Cerveira","4","2019","2058865","1676.6"
"1120301","Amares","4","2019","14949691","7283.2"
"1120302","Barcelos","4","2019","103023486","9894.2"
"1120303","Braga","4","2019","17837631","4752.9"
"1120306","Esposende","4","2019","21436483","9338.8"
"1120310","Terras de Bouro","4","2019","4492929","700.8"
"1120313","Vila Verde","4","2019","17115122","3697.1"
"1190304","Cabeceiras de Basto","4","2019","8817414","794.8"
"1190307","Fafe","4","2019","7584006","2939.5"
"1190308","Guimarães","4","2019","26619203","6505.3"
"1190309","Póvoa de Lanhoso","4","2019","9632410","3228"
"1190311","Vieira do Minho","4","2019","5518418","677.9"
"1190312","Vila Nova de Famalicão","4","2019","46256106","8677.2"
"1190314","Vizela","4","2019","1941265","5344.2"
"1191705","Mondim de Basto","4","2019","4171859","714.9"
"11A0104","Arouca","4","2019","10361676","2371.2"
"11A0107","Espinho","4","2019","272531","9342.8"
"11A0109","Santa Maria da Feira","4","2019","7909842","5509.9"
"11A0113","Oliveira de Azeméis","4","2019","14290114","8409.5"
"11A0116","São João da Madeira","4","2019","53379","2514.3"
"11A0119","Vale de Cambra","4","2019","3529773","3872.5"
"11A1304","Gondomar","4","2019","5492081","6239.1"
"11A1306","Maia","4","2019","13809785","9102"
"11A1308","Matosinhos","4","2019","9765210","9928.4"
"11A1310","Paredes","4","2019","7462784","4022.9"
"11A1312","Porto","4","2019","115631","5045"
"11A1313","Póvoa de Varzim","4","2019","51659111","15996.3"
"11A1314","Santo Tirso","4","2019","11641091","5510.2"
"11A1315","Valongo","4","2019","4234398","4743.8"
"11A1316","Vila do Conde","4","2019","78722006","13045.9"
"11A1317","Vila Nova de Gaia","4","2019","9035193","7380.1"
"11A1318","Trofa","4","2019","13649873","8985.3"
"11B1702","Boticas","4","2019","7386284","524"
"11B1703","Chaves","4","2019","30639587","1592.5"
"11B1706","Montalegre","4","2019","19339484","584.5"
"11B1709","Ribeira de Pena","4","2019","4949449","791.9"
"11B1712","Valpaços","4","2019","26830908","1104.5"
"11B1713","Vila Pouca de Aguiar","4","2019","12218141","695"
"11C0106","Castelo de Paiva","4","2019","4750243","3872.3"
"11C0305","Celorico de Basto","4","2019","10478155","2629.2"
"11C1301","Amarante","4","2019","16886471","2266.7"
"11C1302","Baião","4","2019","8083440","1965.7"
"11C1303","Felgueiras","4","2019","13247127","4636.1"
"11C1305","Lousada","4","2019","8795330","4240.8"
"11C1307","Marco de Canaveses","4","2019","8842130","3291.2"
"11C1309","Paços de Ferreira","4","2019","4814195","5344.3"
"11C1311","Penafiel","4","2019","13756147","4340.4"
"11C1804","Cinfães","4","2019","7587080","1695.3"
"11C1813","Resende","4","2019","11469481","2984.9"
"11D0403","Carrazeda de Ansiães","4","2019","16555734","2393.8"
"11D0404","Freixo de Espada à Cinta","4","2019","11067622","1395.2"
"11D0409","Torre de Moncorvo","4","2019","16594125","1299.9"
"11D0914","Vila Nova de Foz Côa","4","2019","23883958","1858.6"
"11D1701","Alijó","4","2019","25303752","2358.8"
"11D1704","Mesão Frio","4","2019","4379579","3385.9"
"11D1707","Murça","4","2019","7901435","1306.9"
"11D1708","Peso da Régua","4","2019","14817971","2959.7"
"11D1710","Sabrosa","4","2019","13374437","2591.1"
"11D1711","Santa Marta de Penaguião","4","2019","10080854","2891.7"
"11D1714","Vila Real","4","2019","16059139","1452.7"
"11D1801","Armamar","4","2019","23254041","4763.9"
"11D1805","Lamego","4","2019","20517142","2971.8"
"11D1807","Moimenta da Beira","4","2019","18841759","3555"
"11D1812","Penedono","4","2019","6255930","1531.6"
"11D1815","São João da Pesqueira","4","2019","31310175","2440.7"
"11D1818","Sernancelhe","4","2019","10402381","2598.5"
"11D1819","Tabuaço","4","2019","8744619","2428.7"
"11D1820","Tarouca","4","2019","11428273","4769.5"
"11E0401","Alfândega da Fé","4","2019","10164750","856.4"
"11E0402","Bragança","4","2019","36469155","961.2"
"11E0405","Macedo de Cavaleiros","4","2019","25536668","871.7"
"11E0406","Miranda do Douro","4","2019","19058787","765.1"
"11E0407","Mirandela","4","2019","27101565","879.2"
"11E0408","Mogadouro","4","2019","30644672","918.7"
"11E0410","Vila Flor","4","2019","14724088","1449.4"
"11E0411","Vimioso","4","2019","13317938","816.3"
"11E0412","Vinhais","4","2019","21463476","1047.1"
"1500801","Albufeira","4","2019","46565719","12412.6"
"1500802","Alcoutim","4","2019","11125888","761.3"
"1500803","Aljezur","4","2019","26581350","5768.3"
"1500804","Castro Marim","4","2019","9736678","1471.7"
"1500805","Faro","4","2019","39360955","7739.3"
"1500806","Lagoa","4","2019","7640882","6987.8"
"1500807","Lagos","4","2019","17943903","3432.1"
"1500808","Loulé","4","2019","32250892","1836.8"
"1500809","Monchique","4","2019","11232501","4748.8"
"1500810","Olhão","4","2019","28214573","11473.8"
"1500811","Portimão","4","2019","11048480","3654.8"
"1500812","São Brás de Alportel","4","2019","3410753","1373.5"
"1500813","Silves","4","2019","69072763","4911.2"
"1500814","Tavira","4","2019","47491446","4705"
"1500815","Vila do Bispo","4","2019","3308111","580.6"
"1500816","Vila Real de Santo António","4","2019","8211383","4410.5"
"16B1001","Alcobaça","4","2019","82849372","11579.3"
"16B1005","Bombarral","4","2019","49120448","10885.4"
"16B1006","Caldas da Rainha","4","2019","54133339","8984"
"16B1011","Nazaré","4","2019","5938191","6777.7"
"16B1012","Óbidos","4","2019","26827568","8117.6"
"16B1014","Peniche","4","2019","22171932","8168.2"
"16B1101","Alenquer","4","2019","39042753","3012"
"16B1102","Arruda dos Vinhos","4","2019","5869523","1643.8"
"16B1104","Cadaval","4","2019","32458714","6493.9"
"16B1108","Lourinhã","4","2019","44632325","8019.9"
"16B1112","Sobral de Monte Agraço","4","2019","8044469","3280.8"
"16B1113","Torres Vedras","4","2019","171845886","11247.3"
"16D0101","Águeda","4","2019","16415012","7848.4"
"16D0102","Albergaria-a-Velha","4","2019","12702850","5791.2"
"16D0103","Anadia","4","2019","9404662","2969.1"
"16D0105","Aveiro","4","2019","10030636","3957.2"
"16D0108","Estarreja","4","2019","13541074","5192.4"
"16D0110","Ílhavo","4","2019","5934086","7399.2"
"16D0112","Murtosa","4","2019","9460648","6650.6"
"16D0114","Oliveira do Bairro","4","2019","6161464","3490.2"
"16D0115","Ovar","4","2019","17302086","8227.3"
"16D0117","Sever do Vouga","4","2019","12077708","25513.8"
"16D0118","Vagos","4","2019","10241591","4394.9"
"16E0111","Mealhada","4","2019","9532903","7824.6"
"16E0601","Arganil","4","2019","4702543","5044.3"
"16E0602","Cantanhede","4","2019","15337437","3484.8"
"16E0603","Coimbra","4","2019","17844657","3737"
"16E0604","Condeixa-a-Nova","4","2019","3233838","1936.9"
"16E0605","Figueira da Foz","4","2019","36023768","6183"
"16E0606","Góis","4","2019","1244924","8008"
"16E0607","Lousã","4","2019","5084554","9471.4"
"16E0608","Mira","4","2019","7789869","8541.2"
"16E0609","Miranda do Corvo","4","2019","17399159","16540.5"
"16E0610","Montemor-o-Velho","4","2019","28668020","2915.8"
"16E0611","Oliveira do Hospital","4","2019","5891469","2079"
"16E0612","Pampilhosa da Serra","4","2019","1724453","4437.4"
"16E0613","Penacova","4","2019","2263522","2571.9"
"16E0614","Penela","4","2019","1878420","1475.8"
"16E0615","Soure","4","2019","8385050","1779.2"
"16E0616","Tábua","4","2019","4574913","2356"
"16E0617","Vila Nova de Poiares","4","2019","2104021","4707.5"
"16E1808","Mortágua","4","2019","4650662","9600.5"
"16F1002","Alvaiázere","4","2019","3962501","2214.1"
"16F1003","Ansião","4","2019","8908115","3486.7"
"16F1004","Batalha","4","2019","8761439","9718.8"
"16F1007","Castanheira de Pêra","4","2019","466392","2133.1"
"16F1008","Figueiró dos Vinhos","4","2019","929439","2037.7"
"16F1009","Leiria","4","2019","137655898","21072.5"
"16F1010","Marinha Grande","4","2019","704447","3432.6"
"16F1013","Pedrógão Grande","4","2019","1286521","1793.4"
"16F1015","Pombal","4","2019","25864947","5548.8"
"16F1016","Porto de Mós","4","2019","29105900","4456.8"
"16G0901","Aguiar da Beira","4","2019","21456912","6464.9"
"16G1802","Carregal do Sal","4","2019","4530852","4462.7"
"16G1803","Castro Daire","4","2019","15649419","2971.7"
"16G1806","Mangualde","4","2019","11185526","2536.8"
"16G1809","Nelas","4","2019","11703626","5196.3"
"16G1810","Oliveira de Frades","4","2019","30540826","31578.2"
"16G1811","Penalva do Castelo","4","2019","7594461","3065.9"
"16G1814","Santa Comba Dão","4","2019","7771634","7330.2"
"16G1816","São Pedro do Sul","4","2019","24984601","6370.5"
"16G1817","Sátão","4","2019","18940208","6744"
"16G1821","Tondela","4","2019","23147092","6862.9"
"16G1822","Vila Nova de Paiva","4","2019","15996716","12238.6"
"16G1823","Viseu","4","2019","23405701","4035.6"
"16G1824","Vouzela","4","2019","18216113","11835.8"
"16H0502","Castelo Branco","4","2019","35299840","697.8"
"16H0505","Idanha-a-Nova","4","2019","52514069","596.2"
"16H0506","Oleiros","4","2019","2803921","2967.8"
"16H0507","Penamacor","4","2019","11996267","838.2"
"16H0508","Proença-a-Nova","4","2019","14285513","3769.4"
"16H0511","Vila Velha de Ródão","4","2019","7973306","1096.8"
"16I0509","Sertã","4","2019","6909571","2320.5"
"16I0510","Vila de Rei","4","2019","2227949","3045.2"
"16I1401","Abrantes","4","2019","12444308","887.9"
"16I1402","Alcanena","4","2019","3246522","925.2"
"16I1408","Constância","4","2019","2026554","1156"
"16I1410","Entroncamento","4","2019","963490","3142"
"16I1411","Ferreira do Zêzere","4","2019","31468688","16105.7"
"16I1413","Mação","4","2019","3322848","1548.3"
"16I1417","Sardoal","4","2019","1318688","1575.6"
"16I1418","Tomar","4","2019","16792673","2792.8"
"16I1419","Torres Novas","4","2019","19105744","1966.2"
"16I1420","Vila Nova da Barquinha","4","2019","892927","3395.3"
"16I1421","Ourém","4","2019","22966205","5870.5"
"16J0501","Belmonte","4","2019","7732863","1497.3"
"16J0503","Covilhã","4","2019","27284696","1902.9"
"16J0504","Fundão","4","2019","52818322","2052.6"
"16J0902","Almeida","4","2019","10313234","407.2"
"16J0903","Celorico da Beira","4","2019","12194299","1346.1"
"16J0904","Figueira de Castelo Rodrigo","4","2019","22098730","845.8"
"16J0905","Fornos de Algodres","4","2019","5545398","2030.6"
"16J0906","Gouveia","4","2019","9868537","1280.8"
"16J0907","Guarda","4","2019","18852155","812.8"
"16J0908","Manteigas","4","2019","866473","246.3"
"16J0909","Mêda","4","2019","11727692","1153.2"
"16J0910","Pinhel","4","2019","19747284","938.5"
"16J0911","Sabugal","4","2019","16056986","552.7"
"16J0912","Seia","4","2019","8479193","1394.7"
"16J0913","Trancoso","4","2019","16960817","1452.5"
"1701105","Cascais","4","2019","680034","595.9"
"1701106","Lisboa","4","2019","243963","4332.5"
"1701107","Loures","4","2019","12465593","3231.5"
"1701109","Mafra","4","2019","45595168","5253.4"
"1701110","Oeiras","4","2019","250539","1400.8"
"1701111","Sintra","4","2019","21983494","4022"
"1701114","Vila Franca de Xira","4","2019","38724911","2814.2"
"1701115","Amadora","4","2019","93244","1513"
"1701116","Odivelas","4","2019","374662","2683.2"
"1701502","Alcochete","4","2019","34445088","9222.2"
"1701503","Almada","4","2019","1168161","2243"
"1701504","Barreiro","4","2019","424390","4995.8"
"1701506","Moita","4","2019","19963178","7318.4"
"1701507","Montijo","4","2019","60594353","3652.5"
"1701508","Palmela","4","2019","59687567","2273.8"
"1701510","Seixal","4","2019","982642","2280.2"
"1701511","Sesimbra","4","2019","7747886","2488.7"
"1701512","Setúbal","4","2019","7739103","1964.5"
"1810211","Odemira","4","2019","216398538","2751.4"
"1811501","Alcácer do Sal","4","2019","142565289","1247.7"
"1811505","Grândola","4","2019","71306455","1530.1"
"1811509","Santiago do Cacém","4","2019","63918006","880.2"
"1811513","Sines","4","2019","4055236","672.6"
"1840201","Aljustrel","4","2019","33281256","915.9"
"1840202","Almodôvar","4","2019","28053614","581.9"
"1840203","Alvito","4","2019","18637983","924.6"
"1840204","Barrancos","4","2019","5456545","389.5"
"1840205","Beja","4","2019","120162862","1085"
"1840206","Castro Verde","4","2019","21096692","410.3"
"1840207","Cuba","4","2019","16187579","1153.8"
"1840208","Ferreira do Alentejo","4","2019","71518701","1153.8"
"1840209","Mértola","4","2019","83852026","804.9"
"1840210","Moura","4","2019","58236644","805.6"
"1840212","Ourique","4","2019","23907839","487.6"
"1840213","Serpa","4","2019","70469353","763.5"
"1840214","Vidigueira","4","2019","25436884","1068.3"
"1851103","Azambuja","4","2019","44294912","4336.9"
"1851403","Almeirim","4","2019","40630603","3295"
"1851404","Alpiarça","4","2019","23600340","4394.5"
"1851405","Benavente","4","2019","48422957","1465.9"
"1851406","Cartaxo","4","2019","40180510","4161.3"
"1851407","Chamusca","4","2019","33213279","1243.9"
"1851409","Coruche","4","2019","87869080","1541.7"
"1851412","Golegã","4","2019","20389173","2281.8"
"1851414","Rio Maior","4","2019","49281195","9079.8"
"1851415","Salvaterra de Magos","4","2019","47566497","4623.6"
"1851416","Santarém","4","2019","143048235","5161.3"
"1861201","Alter do Chão","4","2019","21299197","703.8"
"1861202","Arronches","4","2019","14666733","561.7"
"1861203","Avis","4","2019","31656565","660.8"
"1861204","Campo Maior","4","2019","22473739","1076.8"
"1861205","Castelo de Vide","4","2019","7948129","446.6"
"1861206","Crato","4","2019","11913541","434.1"
"1861207","Elvas","4","2019","45733812","842"
"1861208","Fronteira","4","2019","21444927","923.1"
"1861209","Gavião","4","2019","12434904","908.3"
"1861210","Marvão","4","2019","5698302","654.7"
"1861211","Monforte","4","2019","22029433","540.3"
"1861212","Nisa","4","2019","19429206","670.4"
"1861213","Ponte de Sor","4","2019","42812106","518.4"
"1861214","Portalegre","4","2019","18189272","621.7"
"1861215","Sousel","4","2019","20454774","958.7"
"1870701","Alandroal","4","2019","27701842","591.6"
"1870702","Arraiolos","4","2019","43623908","693.9"
"1870703","Borba","4","2019","10069354","1119.2"
"1870704","Estremoz","4","2019","33679889","794.1"
"1870705","Évora","4","2019","78004660","679.8"
"1870706","Montemor-o-Novo","4","2019","92196405","841.7"
"1870707","Mora","4","2019","28342756","414.1"
"1870708","Mourão","4","2019","13225906","581.9"
"1870709","Portel","4","2019","31110546","672.9"
"1870710","Redondo","4","2019","30422979","883.2"
"1870711","Reguengos de Monsaraz","4","2019","28861319","897.3"
"1870712","Vendas Novas","4","2019","20107855","1234.6"
"1870713","Viana do Alentejo","4","2019","18169520","573.5"
"1870714","Vila Viçosa","4","2019","15195419","907"
"2004101","Vila do Porto","4","2019","5395975","1198.8"
"2004201","Lagoa","4","2019","18182669","7553.9"
"2004202","Nordeste","4","2019","17004740","4808"
"2004203","Ponta Delgada","4","2019","89800202","6230.4"
"2004204","Povoação","4","2019","13600932","3880.3"
"2004205","Ribeira Grande","4","2019","67165739","6535.1"
"2004206","Vila Franca do Campo","4","2019","20531263","5225.5"
"2004301","Angra do Heroísmo","4","2019","66535146","4203.6"
"2004302","Vila da Praia da Vitória","4","2019","36831061","4669.9"
"2004401","Santa Cruz da Graciosa","4","2019","8761088","2564.4"
"2004501","Calheta","4","2019","14675678","2052.1"
"2004502","Velas","4","2019","12720961","1747.8"
"2004601","Lajes do Pico","4","2019","11188374","1397.8"
"2004602","Madalena","4","2019","12283651","1654.2"
"2004603","São Roque do Pico","4","2019","7775536","1283.8"
"2004701","Horta","4","2019","15771979","1748.9"
"2004801","Lajes das Flores","4","2019","2444479","855.8"
"2004802","Santa Cruz das Flores","4","2019","2888209","1319.7"
"2004901","Corvo","4","2019","420922","443.1"
"3003101","Calheta","4","2019","9533627","21291.8"
"3003102","Câmara de Lobos","4","2019","12592196","19858.1"
"3003103","Funchal","4","2019","8534542","23855.5"
"3003104","Machico","4","2019","9457687","23691"
"3003105","Ponta do Sol","4","2019","11024325","24694.4"
"3003106","Porto Moniz","4","2019","3152854","17182.7"
"3003107","Ribeira Brava","4","2019","7273488","18408.3"
"3003108","Santa Cruz","4","2019","19846180","42876.4"
"3003109","Santana","4","2019","15924669","22574.1"
"3003110","São Vicente","4","2019","8351159","23241.6"
"3003201","Porto Santo","4","2019","1450127","6812.9"
